player,score,number of steps,steps per score,time
bfs,122,5706,46,21-06-2024 23:13:06
human,6,383,63,21-06-2024 23:16:04
human,16,1097,68,21-06-2024 23:27:37
bfs,150,7858,52,21-06-2024 23:32:32
bfs,92,4246,46,25-06-2024 12:53:01
human,20,1399,69,25-06-2024 12:59:52
cnn_small,62,293,4,25-06-2024 14:52:05
cnn_small,249,1237,4,25-06-2024 14:54:19
cnn_small,96,446,4,27-06-2024 00:46:09
cnn_small,39,171,4,27-06-2024 00:47:54
human,3,140,46,27-06-2024 04:03:27
cnn,26,1315,50,27-06-2024 04:07:06
cnn,28,1414,50,27-06-2024 04:08:34
cnn,11,762,69,27-06-2024 04:09:40
cnn,6,262,43,27-06-2024 04:10:24
cnn,24,1317,54,27-06-2024 04:11:28
cnn,27,1656,61,27-06-2024 04:12:43
cnn,5,210,42,27-06-2024 04:14:23
cnn,2,43,21,27-06-2024 04:14:37
cnn,20,943,47,27-06-2024 04:15:20
cnn,15,753,50,27-06-2024 04:16:06
cnn,21,1036,49,27-06-2024 04:17:20
cnn,3,106,35,27-06-2024 04:17:50
cnn,5,347,69,27-06-2024 04:18:12
cnn,11,518,47,27-06-2024 04:18:42
cnn,4,231,57,27-06-2024 04:19:42
cnn,10,544,54,27-06-2024 04:20:12
cnn,14,831,59,27-06-2024 04:21:10
cnn,5,208,41,27-06-2024 04:21:29
cnn,15,1793,119,27-06-2024 04:22:44
cnn,14,732,52,27-06-2024 04:23:25
cnn_2x,19,998,52,27-06-2024 05:04:57
cnn_2x,16,726,45,27-06-2024 05:05:53
cnn_2x,16,597,37,27-06-2024 05:06:28
cnn_2x,38,1948,51,27-06-2024 05:07:54
cnn_2x,15,763,50,27-06-2024 09:49:39
cnn_2x,41,2057,50,27-06-2024 09:52:37
cnn_2x,5,317,63,27-06-2024 09:53:41
cnn_5by5,39,1767,45,28-06-2024 08:53:15
cnn_5by5,50,2829,56,28-06-2024 08:57:11
cnn_5by5,51,2685,52,28-06-2024 08:59:49
cnn_5by5,33,1584,48,28-06-2024 17:11:46
cnn_5by5,40,1890,47,28-06-2024 17:28:31
cnn_5by5,19,770,40,04-07-2024 05:14:34
cnn_5by5,65,3463,53,04-07-2024 05:16:46
cnn_5by5,42,1950,46,04-07-2024 06:44:46
cnn_5by5,54,2773,51,04-07-2024 07:01:51
cnn_small,76,381,5,04-07-2024 07:18:39
human,2,125,62,04-07-2024 07:21:12
